Provider,Category,Overall,Short,Medium,Long,Cost_Per_Page,Cost_Short,Cost_Medium,Cost_Long,P_Short,P_Medium,P_Long,R_Short,R_Medium,R_Long,Word_Grounding,Word_Grounding_Short,Word_Grounding_Medium,Word_Grounding_Long,Page_Grounding,Page_Grounding_Short,Page_Grounding_Medium,Page_Grounding_Long,Latency_S_Per_Doc_Short,Latency_S_Per_Doc_Medium,Latency_S_Per_Doc_Long
LlamaExtract Agentic Plus,LlamaExtract,95.59,96.56,93.34,94.41,0.0811,0.0831,0.0771,0.0750,96.59,93.95,94.32,96.54,92.80,94.54,46.43,43.74,54.01,54.67,84.92,89.70,72.25,87.14,110.7,197.7,587.5
Codex (GPT-5.5),Coding Agents,93.57,95.68,91.15,78.88,0.2783,0.3579,0.1214,0.0434,96.01,93.64,94.03,95.51,90.16,78.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.3,82.6,122.0
Reducto Deep Extract,Specialized APIs,90.44,94.20,80.47,92.01,0.3444,0.3798,0.2312,0.5058,94.09,80.78,91.98,94.38,80.20,92.06,43.30,42.84,45.57,41.13,71.71,72.60,70.42,67.28,206.5,293.7,591.7
Reducto Extract,Specialized APIs,83.41,92.97,69.59,30.65,0.0553,0.0576,0.0517,0.0483,92.88,79.07,93.03,93.17,68.75,29.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.5,141.0,56.3
LlamaExtract Agentic,LlamaExtract,89.55,92.03,85.41,78.62,0.0312,0.0312,0.0312,0.0312,91.44,89.37,82.54,92.83,84.33,77.19,44.14,42.30,50.47,45.68,66.12,69.73,56.59,67.60,94.3,129.9,506.4
Qwen3.6 35B,OSS,88.11,92.86,86.37,36.90,,,,,93.12,93.13,90.57,92.89,83.38,31.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.2,132.2,348.3
Claude Code (Opus 4.8),Coding Agents,87.09,90.08,79.21,88.07,0.1617,0.2144,0.0823,0.0338,90.17,79.80,89.38,90.20,78.94,87.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.2,157.9,315.5
LlamaExtract Cost-Effective,LlamaExtract,86.78,90.77,80.12,69.17,0.0100,0.0100,0.0100,0.0100,91.24,85.48,80.73,90.63,79.22,63.41,40.43,40.20,42.30,36.67,64.15,68.90,53.73,56.55,105.7,205.0,510.4
Extend (Max Context),Specialized APIs,88.62,92.32,78.75,90.46,0.1000,0.1000,0.1000,0.1000,92.39,77.36,93.11,92.28,80.84,89.86,25.20,33.93,0.21,0.02,49.04,61.71,27.68,0.03,86.2,130.6,364.6
Datalab (Accurate + Balanced),Specialized APIs,85.70,89.40,85.08,42.04,0.0350,0.0350,0.0350,0.0350,89.68,85.52,42.02,89.57,84.70,42.05,2.02,2.67,0.24,0.00,48.50,56.90,38.55,0.01,246.5,378.4,479.7
GLM-5.3 Flash,Commercial VLM,80.75,96.30,51.56,27.83,0.0034,0.0037,0.0021,0.0013,96.28,52.08,36.76,96.52,51.11,27.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.5,127.9,249.9
Google Gemini 3.5 Flash,Commercial VLM,79.84,87.87,69.76,27.90,0.0100,0.0118,0.0069,0.0024,88.17,75.13,83.72,87.70,69.34,26.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.0,36.7,22.8
Lift Datalab 9B,OSS,78.43,87.64,65.69,24.78,,,,,87.88,68.20,34.69,87.66,65.44,24.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.4,182.7,202.5
OpenAI GPT-5.4 Nano,Commercial VLM,74.90,77.43,76.37,35.81,0.0021,0.0025,0.0012,0.0005,77.36,80.27,71.17,78.20,75.52,33.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.5,63.8,184.3
Gemma4 26B,OSS,70.27,77.70,59.61,28.88,,,,,78.44,65.89,50.10,77.29,57.71,25.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,601.2,767.9,746.7
NuExtract3,OSS,81.02,86.41,77.01,32.71,,,,,86.20,82.31,80.62,87.39,74.89,29.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.8,91.0,190.7
NuExtract 2.0 8B,OSS,49.42,62.92,23.50,6.39,,,,,68.28,60.16,75.93,61.03,21.09,4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
InternVL3.5 8B,OSS,64.63,79.26,36.62,17.57,,,,,82.37,65.17,61.77,78.05,31.70,15.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
InternVL3.5 14B,OSS,66.35,80.70,39.04,19.41,,,,,83.06,67.40,70.23,79.83,33.60,17.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
MiniCPM-V 4.5,OSS,45.85,57.39,25.30,1.13,,,,,59.58,33.39,14.16,57.75,25.61,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Qwen3.5 35B,OSS,88.00,93.52,85.27,31.73,,,,,93.41,91.15,81.07,93.82,82.81,26.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.0,144.8,302.7
Qwen3.5 9B,OSS,86.10,92.31,81.12,32.22,,,,,92.60,88.53,85.52,92.52,78.22,27.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.3,184.1,341.2
