variant,document_id,partition,split,pages,recorded_model,parser_version,cost_usd,calls,error,upstream_error,source_sha256,artifact_sha256,original_record_sha256,upstream_record_sha256,upstream_accuracy,upstream_array_record_accuracy,upstream_array_record_f1,upstream_array_record_precision,upstream_array_record_recall,upstream_array_record_row_count_ratio,upstream_confidence_scoped_auc,upstream_confidence_scoped_coverage_at_95pct_precision,upstream_confidence_scoped_normalized_auc,upstream_confidence_scoped_precision_at_80pct_coverage,upstream_confidence_scoped_unique_value_count,upstream_confidence_signal_coverage,upstream_extract_evidence_bbox_IOU_alignment,upstream_extract_evidence_bbox_IOU_pass_rate,upstream_extract_evidence_bbox_coverage,upstream_extract_evidence_bbox_covered_pass_rate,upstream_extract_evidence_page_covered_pass_rate,upstream_extract_evidence_page_pass_rate,upstream_extract_evidence_value_pass_rate,upstream_extract_unified_grounded_f1,upstream_extract_unified_grounded_precision,upstream_extract_unified_grounded_recall,upstream_extract_unified_page_f1,upstream_extract_unified_page_precision,upstream_extract_unified_page_recall,upstream_extract_unified_value_f1,upstream_extract_unified_value_precision,upstream_extract_unified_value_recall
fields,07021-2016-p0018,dev,short,1,,2.14.4,0.016493484,70,,,"""9a21e0920e98714a567ddc9394349f7978692ed380bce208dcbfd20044104597""","{""pdf_sha256"":""e667acf072151b34ddaee54965db1c838855019efce443d610c826b21472cdb5"",""schema_sha256"":""30623361bad97ee66e685ddc8d0e859150ec2019b914757799140b776e80938a""}",9f138b73b85ecc6a483cd922a952d825b8a1d8ded0a4bdac6f6219aa703f28f1,9c070e6678a4fb0b61113f54ea2dfb36849281609cb166caf6eb13681d47f750,0.4565776178133693,0.44680851063829785,0.4117647058823529,0.38181818181818183,0.44680851063829785,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04385455687887336,0.0,0.3333333333333333,0.0,0.13333333333333333,0.06896551724137931,0.1724137931034483,0.0,0.0,0.0,0.1,0.15384615384615385,0.07407407407407407,0.4117647058823529,0.38181818181818183,0.44680851063829785
fields,H9-53-59_60,dev,short,1,,2.14.4,0.010331453999999999,49,,,"""9a21e0920e98714a567ddc9394349f7978692ed380bce208dcbfd20044104597""","{""pdf_sha256"":""3138b0b9eb5558bd7a4926da7fd6fcbe9dc6416d598bf3b8a45721151bfb28b4"",""schema_sha256"":""3ed88269aa3b306944b365be830ad89677350e0630dcc2173bad72cef7e3041a""}",afe16bc562979eba826305de6a28c19bddcb161abba404c7b69463dbb612328d,a7c89fc71a4bfb436691d0c9ac2b93478f11d9db14f647f54064cfe18d3776d6,0.5009626839241443,0.46551724137931033,0.46551724137931033,0.46551724137931033,0.46551724137931033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640441326831655,0.1160965292076423,0.19230769230769232,0.17307692307692307,0.6521739130434783,0.32142857142857145,0.625,0.21875,0.7,0.12962962962962962,0.32911392405063294,0.5909090909090909,0.22807017543859648,0.5862068965517241,0.5862068965517241,0.5862068965517241
fields,P4-Historical Single Signature83-10963_5480,dev,short,1,,2.14.4,0.013127981999999998,57,,,"""9a21e0920e98714a567ddc9394349f7978692ed380bce208dcbfd20044104597""","{""pdf_sha256"":""91e6c084622131653977e8e0f244fe4f13dbae34c8509172948939bdc94d1076"",""schema_sha256"":""c50c32330a96e7259cd4a5a5125dbae3dacc48136407eb1882f2c5f5d2388b6c""}",d1f97984e655eef34cac7f999819cdd679564180743e275241d85b143241573e,46fe2c829f12a3501a8ebbaca637329987bb89fad587cf5edeb51d9b244f7904,0.8715972420960534,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5057513467869643,0.07279442186922526,0.15,0.125,0.7142857142857143,0.38461538461538464,0.8653846153846154,0.13043478260869565,0.5,0.075,0.25396825396825395,0.5714285714285714,0.16326530612244897,0.8653846153846154,0.8653846153846154,0.8653846153846154
fields,W14-58509_W14 2nd sub revised,dev,short,1,,2.14.4,0.06920844000000004,238,,,"""9a21e0920e98714a567ddc9394349f7978692ed380bce208dcbfd20044104597""","{""pdf_sha256"":""22511db4eda31b6cba04e88fc8732c47e00d191d81cc9468c4e1366214f4901a"",""schema_sha256"":""7ad6ae99b204297b28920683d028ff9ef71b35a455b7a34a7f2363fd474d5d45""}",050b382cdbeea26463c3d8c97ce1e1676fe343b36a48354771c9fc5001d490d3,89c861d01bdafbae7c72898f8dac80c6798c5adec383d2767b333c1a9551e502,0.6464596798890814,0.8097345132743363,0.7803837953091685,0.7530864197530864,0.8097345132743363,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.292590468890217,0.05828687949091622,0.3523809523809524,0.11428571428571428,0.5657894736842105,0.5068493150684932,0.678082191780822,0.13533834586466167,0.42857142857142855,0.08035714285714286,0.35810810810810806,0.7464788732394366,0.23555555555555555,0.814498933901919,0.7860082304526749,0.8451327433628318
fields,baker_hughes_earnings_deck_q4fy25,dev,medium,25,,2.14.4,0.012487482000000001,38,,,"""9a21e0920e98714a567ddc9394349f7978692ed380bce208dcbfd20044104597""","{""pdf_sha256"":""0aacb98fdb9ee986940f4b1c348f403acfaa42d32621a22909c6f3abb0f75f8f"",""schema_sha256"":""9c44694c086d54a67e6f397dc2ed9f7c103738a4de5811d0395bba71a6261338""}",c10409ac4df643ed8250b59082b49b0139cb6c26d23f0942d09dbb347707d4a7,e23697b898a529ac2f1a4f6a097b9743a59843d1d09f5b4b2b10fe5d5d9a29f9,0.4571060276860252,0.35,0.4117647058823529,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.23809523809523808,0.3333333333333333,,,,0.0,0.0,0.0,0.4117647058823529,0.5,0.35
fields,ccc_online_0012_chubb_dodge_durango_corrupted,dev,medium,17,,2.14.4,0.028215263999999986,111,,,"""9a21e0920e98714a567ddc9394349f7978692ed380bce208dcbfd20044104597""","{""pdf_sha256"":""3b36e3cc0c65b1bfa82bc668ac92ea4c7b0bd40fb42640cd155af4877157cba1"",""schema_sha256"":""97bc56fc0019939b8f89e45349601a7d6962f7f15b962b6ed32b8aa0c43e1939""}",0215f015cd170eaf029f63c8218950852ed7c907158bff30b3c87296182df0fa,11d52e6cd95cfab466046e8731811c1053a72ab732956f93b1eaf36f9307fd93,0.06863346032342121,0.056910569105691054,0.09722222222222222,0.3333333333333333,0.056910569105691054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.031746031746031744,0.05555555555555555,,,,0.0,0.0,0.0,0.09722222222222222,0.3333333333333333,0.056910569105691054
fields,cfpb_closing-disclosure_filled-sample_corrupted,dev,short,5,,2.14.4,0.04980540600000002,165,,,"""9a21e0920e98714a567ddc9394349f7978692ed380bce208dcbfd20044104597""","{""pdf_sha256"":""257964ee735970ddf25d6dd56b3e34af80fcca8c473f9cc79eb8388ea253bc7b"",""schema_sha256"":""166b66fcdeba068088c5d867c232204bbff04cd0b3bac9badabaa4f95e0d655e""}",273ed8665c471dc47e3e84e31fc23b946fb82e375bf57c1ffa567511b2a5eb07,d15880e9c359b7969688e348a973bc2b484addb9003e5a429bf14a2a691ecf81,0.06710352371642694,0.11612903225806452,0.18556701030927836,0.46153846153846156,0.11612903225806452,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.027972027972027972,0.05750798722044728,0.12779552715654952,,,,,,,0.18556701030927836,0.46153846153846156,0.11612903225806452
fields,gsa_mas_it_labor_0010,dev,medium,15,,2.14.4,0.015420468000000001,51,,,"""9a21e0920e98714a567ddc9394349f7978692ed380bce208dcbfd20044104597""","{""pdf_sha256"":""f635fa705077b35a36859509c0094cf6a17f1bd6d29c830bced79183ddc3be58"",""schema_sha256"":""27a32c93f440da9aaa09878c85e8185c47eef79f2d42843d4ff878498bf7a573""}",35a990ed4ab649cd98c1a2587844acd6ab16996d6d18972b7627686c1a383520,90717b42151cf142c5a657bf8c567e7e970990905c3aece73196492f428e65c5,0.06060606060606061,0.06060606060606061,0.1111111111111111,0.6666666666666666,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.06060606060606061,,,,,,,0.1111111111111111,0.6666666666666666,0.06060606060606061
fields,mcdonalds_receipt_chicago_documentcloud,dev,short,1,,2.14.4,0.00350574,11,,,"""9a21e0920e98714a567ddc9394349f7978692ed380bce208dcbfd20044104597""","{""pdf_sha256"":""7733dfb56fe7f3b58d5f9070463d1f9341a44794f871c5aaacccb6278ac5ddd6"",""schema_sha256"":""0b8525756617e8df86ef0599fb3b7b4a3c81a9cab45d9e6dd38fe11c51473d84""}",e69352fb90b198ac873a75b62382c02d79bd1d45ae5ecf3995e0fcba3942b2fb,d86d91936004395b604ce8da650f3783d6055e489eb71aeb48612ce26bfc7281,0.28894526290210604,0.5098039215686274,0.48148148148148145,0.45614035087719296,0.5098039215686274,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.18181818181818182,0.38181818181818183,,,,,,,0.4912280701754386,0.4666666666666667,0.5185185185185185
fields,ms_medicaid_ra_adjustments_corrupted,dev,short,4,,2.14.4,0.008470056,32,,,"""9a21e0920e98714a567ddc9394349f7978692ed380bce208dcbfd20044104597""","{""pdf_sha256"":""9b17b95061663faaa627a2fb38558cc2a4e030a7e9669755b1e0e2792a83bf4e"",""schema_sha256"":""13eaa707b5ac17f2c0deef4667980b1ee49b2113f51f1c5eabdf266e4b1b5db5""}",aef12515d76c4ee584ddcb7544a0482f1dc1d6ff0d5effa5a3be92b26865a16d,86310992379184319d2b6be49ebcdf19ffd75ca8ee05a0ef7ed979a37c5a8626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
