id,split,pages,failed,precision,recall,f1,word_f1,page_f1,cost_usd,cost_per_page_usd,core_inference_seconds,api_calls,budget_resumed,replayed_api_requests
00581-2011-p0050,short,1,False,0.7872340425531915,0.7872340425531915,0.7872340425531915,0.15789473684210528,0.5660377358490566,0.006281268,0.006281268,13.090589,35,False,0
00581-2011-p0052,short,1,False,0.9302325581395349,0.8163265306122449,0.8695652173913043,0.11764705882352941,0.6799999999999999,0.006261486000000002,0.006261486000000002,13.488876,35,False,0
00581-2011-p0098,short,1,False,0.46938775510204084,0.45098039215686275,0.46,0.0,0.1568627450980392,0.005928930000000002,0.005928930000000002,13.985757,33,False,0
00581-2011-p0102,short,1,False,0.6382978723404256,0.5882352941176471,0.6122448979591838,0.0,0.40740740740740744,0.006348887999999999,0.006348887999999999,13.571523,38,False,0
02-10121 H-12 7-2-2024 F-22628,short,1,False,0.44871794871794873,0.44871794871794873,0.44871794871794873,0.0,0.14583333333333331,0.013412153999999999,0.013412153999999999,25.20468,64,False,0
07021-2016-p0014,short,1,False,0.425531914893617,0.425531914893617,0.42553191489361697,0.0,0.0,0.006509201999999999,0.006509201999999999,13.546432,38,False,0
07021-2016-p0016,short,1,False,0.48936170212765956,0.48936170212765956,0.48936170212765956,0.0,0.0,0.005516783999999999,0.005516783999999999,12.213462,34,False,0
07021-2016-p0018,short,1,False,0.44680851063829785,0.44680851063829785,0.44680851063829785,0.0,0.05714285714285714,0.005529719999999998,0.005529719999999998,10.269925,28,False,0
07021-2016-p0026,short,1,False,0.6444444444444445,0.6170212765957447,0.6304347826086957,0.0,0.38095238095238093,0.005707086000000001,0.005707086000000001,12.633221,32,False,0
07021-2016-p0029,short,1,False,0.5777777777777777,0.5531914893617021,0.5652173913043478,0.0,0.19047619047619047,0.005587428,0.005587428,11.007912,27,False,0
07021-2016-p0032,short,1,False,0.48936170212765956,0.48936170212765956,0.48936170212765956,0.0,0.14285714285714285,0.005313755999999998,0.005313755999999998,13.549614,35,False,0
07021-2016-p0038,short,1,False,0.76,0.76,0.76,0.0,0.4761904761904762,0.0033223260000000004,0.0033223260000000004,5.021157,13,False,0
07021-2016-p0039,short,1,False,0.6896551724137931,0.8,0.7407407407407408,0.14285714285714288,0.5454545454545455,0.0034901580000000006,0.0034901580000000006,6.512612,15,False,0
07021-2016-p0040,short,1,False,0.88,0.88,0.88,0.2222222222222222,0.6956521739130435,0.003107579999999999,0.003107579999999999,4.930399,13,False,0
07021-2016-p0051,short,1,False,0.8148148148148148,0.88,0.8461538461538461,0.14285714285714288,0.7500000000000001,0.0035984759999999985,0.0035984759999999985,7.0826,17,False,0
07021-2016-p0052,short,1,False,0.76,0.76,0.76,0.0,0.5217391304347826,0.00349986,0.00349986,6.332557,17,False,0
07021-2016-p0053,short,1,False,0.7037037037037037,0.76,0.7307692307692308,0.14285714285714288,0.6363636363636364,0.003601878000000001,0.003601878000000001,6.478154,16,False,0
07021-2016-p0074,short,1,False,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.0,0.24000000000000005,0.0034010759999999994,0.0034010759999999994,6.038994,15,False,0
07021-2016-p0078,short,1,False,0.8148148148148148,0.88,0.8461538461538461,0.14285714285714288,0.6666666666666667,0.0034489560000000004,0.0034489560000000004,5.562018,14,False,0
